,collocate,raw_frequency,MI
602,HEAP,1,8.26537988095033
603,IMP,1,10.30226180821137
604,CEASED,1,7.572232700390385
605,REGARDS,1,10.01457973575959
606,TRASH,1,9.609114627651426
607,GHOST,1,8.356351659156058
608,PERSONALITY,1,8.567660752823263
609,EGO,1,9.791436184445379
610,COLD,1,6.737435002767413
611,LIFTED,1,7.488851091451334
612,CORNERS,1,8.69282389577727
613,CONSTANTLY,1,8.91596744709148
614,FRIENDS,1,6.480893171051355
615,PERFUMED,1,10.707726916319535
616,SILKEN,1,9.00297882408111
617,FOLDS,1,8.567660752823263
618,ESCORTING,1,9.791436184445379
619,JOINED,1,7.789956184235256
620,FITZROY,1,8.69282389577727
621,FUN,1,7.737312450749833
622,GAILY,1,8.510502338983315
623,ENTERING,1,7.711994642765544
624,INCIDENT,1,7.935138194079753
625,SEEMS,1,6.868274603726224
626,PARTED,1,7.687302030175172
627,UPSTAIRS,1,8.405141823325488
628,TROD,1,9.609114627651426
629,ROUGE,1,11.40087409687948
630,NOIR,1,11.40087409687948
631,NOTICED,1,7.488851091451334
632,AUTHORITY,1,8.628285374639699
633,BETRAY,1,9.00297882408111
634,SIGN,1,7.488851091451334
635,JOIN,1,7.845526035390066
636,READILY,1,8.356351659156058
637,CONSENTED,1,8.45643511771304
638,RESULTS,1,10.01457973575959
639,STAKE,1,8.91596744709148
640,PROPOSE,1,8.835924739417944
641,CURSED,1,9.00297882408111
642,LUCK,1,7.5090537987688535
643,EMPHASISE,1,10.707726916319535
644,RUIN,1,8.405141823325488
645,MAD,1,7.181366391703373
646,COMMON,1,6.80575424674489
647,GIVING,1,6.970057298036166
648,MORRIS,1,8.835924739417944
649,COATS,1,10.30226180821137
650,SPECIAL,1,8.068669586704276
651,EFFECTUALLY,1,9.791436184445379
652,PA,1,9.609114627651426
653,TRACKS,1,9.454963947824167
654,TEA,1,7.393540911647009
655,PLEASE,1,7.138194219838165
656,SHRUG,1,10.01457973575959
657,SHOWED,1,7.290000232706169
658,RELATIVES,1,9.791436184445379
659,PARTICULARLY,1,7.430582183327358
660,IMMENSE,1,8.510502338983315
661,POSITION,1,6.556687010420888
662,KINGDOMS,1,9.791436184445379
663,HOUSES,1,7.411890050315206
664,STICKS,1,9.20364951954326
665,FOOLSCAPS,1,11.40087409687948
666,DENIED,1,8.510502338983315
667,FULFILMENT,1,9.609114627651426
668,NOTHINGNESS,1,10.01457973575959
669,ALLUDED,1,9.00297882408111
670,HELL,1,7.966886892394334
671,WIN,1,7.529673085971589
672,LOATHËD,1,11.40087409687948
673,SOULS,1,7.845526035390066
674,ANNOYED,1,9.321432555199644
675,ANNOYANCE,1,9.00297882408111
676,INSENSIBLE,1,9.098289003885434
677,UPS,1,11.40087409687948
678,PHANTOMS,1,9.454963947824167
679,PHRASE,1,8.835924739417944
680,DESCRIBES,1,10.01457973575959
681,FEEL,1,6.16443213404953
682,EXISTS,1,9.791436184445379
683,ESPECIALLY,1,8.222820266531535
684,WILD,1,6.815906618208908
685,REALIZED,1,8.309831643521164
686,REPLIED,1,6.370436175487044
687,REPRESENTATIVE,1,9.609114627651426
688,UNCUT,1,11.40087409687948
689,ALLUSION,1,8.835924739417944
690,MUD,1,8.69282389577727
691,ROLLING,1,8.567660752823263
692,CAB,1,9.609114627651426
693,WHEELS,1,9.098289003885434
694,STRANGE,1,6.16443213404953
695,APPEAL,1,8.18199827201128
696,CURRISH,1,10.707726916319535
697,INDULGED,1,9.20364951954326
698,RUINOUS,1,10.30226180821137
699,FOOLISH,1,7.789956184235256
700,COMPOSITIONS,1,10.01457973575959
701,MARKED,1,8.068669586704276
702,OVERCOME,1,8.91596744709148
703,CHAMPAGNE,1,8.567660752823263
704,DOING,1,6.556687010420888
705,ALOUD,1,7.789956184235256
706,GEOFFREY,1,6.533339646423897
707,TOYS,1,10.01457973575959
708,EQUAL,1,8.142777558857999
709,LEVÉE,1,10.01457973575959
710,DRESS,1,7.9996767152173245
711,HASTE,1,8.45643511771304
712,PLACES,1,8.142777558857999
713,LINE,1,7.124207977863425
714,ARRANGE,1,9.609114627651426
715,AREN,1,8.91596744709148
716,ILL,1,7.044165270189888
717,BRED,1,8.567660752823263
718,TEN,1,6.9010644265492145
719,ENGLISH,1,6.247582502381701
720,NOBLEMEN,1,8.309831643521164
721,ICE,1,8.356351659156058
722,BERG,1,11.40087409687948
723,FOOTMAN,1,9.20364951954326
724,ESCORTED,1,9.454963947824167
725,FORBEAR,1,10.30226180821137
726,UTTERING,1,10.30226180821137
727,TWICE,1,7.904366535413
728,LINKED,1,9.609114627651426
729,NECK,1,8.068669586704276
