,collocate,raw_frequency,MI
395,OVER,4,3.622034678861267
396,RED,4,5.465979901259892
397,SHE,4,1.623268695721975
398,BRAILSTONE,4,6.446809154271619
399,PINK,5,7.517250565973032
400,SEA,5,5.988781716072599
401,LIKE,5,3.443486711450952
402,SO,5,3.02053208821244
403,BLUE,5,6.013173169196758
404,TO,6,0.975272376620007
405,WHITE,6,4.818502757533135
406,AS,6,2.1850239317296998
407,WAS,7,2.0507655713673034
408,S,7,2.4906065321445046
409,EYES,7,4.273295056707807
410,THAT,9,2.3697202012017793
411,SKY,10,6.646422208175634
412,HER,10,2.3500864696445505
413,WITH,11,2.85086175755704
414,ON,13,3.236911239438107
415,I,13,2.1048607431651476
416,IN,22,2.8543118829233425
417,A,29,2.7198306212323065
418,OF,39,2.696658874764641
419,AND,51,3.01152764604645
420,THE,76,2.8520407245496204
